1 4 6 7 5 6 5 2 3 8 2 6 3 9 2 7 2 6 4 5 2 6 3 3 3 6 2 4 4 5 2 2 7 4 7 2 3 2 7 7 5 4 2 3 4 3 3 5 4 5 3 2 8 5 5 2 6 4 1 2 7 5 3 6 9 1 9 3 1 8 6 2 4 4 5 6 3 3 2 5 3 5 4 2 1 4 6 4 2 8 1 2 2 1 3 2 4 4 5 3 3 4 6 4 3 3 5 4 6 4 5 6 4 3 4 6 3 1 4 3 2 3 2 4 1 9 7 5 5 3 2 3 2 2 6 4 4 4 9 2 4 4 3 1 5 2 3 5 5 4 3 4 7 4 2 6 3 8 5 7 6 3 2 2 2 7 4 3 1 2 5 3 4 4 3 3 3 5 4 4 3 1 6 10 4 3 3 7 4 5 4 1 2 2 4 3 2 7 1 5 2 5 4 3 0 4 2 3 5 5 3 2 3 0 4 4 1 3 1 5 7 3 4 4 5 5 4 3 3 2 8 1 3 5 2 2 3 2 6 4 3 3 4 1 4 6 5 2 5 4 4 4 5 8 2 7 2 3 3 3 3 3 2 4 2 1 1 6 6 1 2 3 1 2 3 3 3 4 5 9 6 10 3 6 2 4 3 2 3 3 2 8 4 2 4 3 4 2 3 6 1 3 7 4 10 1 6 2 4 5 5 4 5 6 4 5 4 1 3 3 4 2 2 2 4 4 4 2 3 8 3 3 3 5 6 3 4 5 6 5 6 7 5 2 1 7 2 3 5 3 6 5 5 4 6 3 6 8 3 4 7 8 3 4 3 2 5 2 4 2 2 0 4 2 4 4 4 6 3 3 2 1 5 8 5 1 3 4 6 3 4 7 4 2 4 3 7 5 6 5 3 4 4 6 5 4 1 4 4 5 6 5 6 11 0 3 3 1 3 5 2 5 3 6 5 3 3 4 4 3 4 5 3 7 8 3 10 2 1 3 4 9 11 5 6 4 5 5 2 1 4 3 3 4 9 4 1 9 4 4 1 3 7 2 5 5 5 3 5 2 8 2 5 3 5 7 5 5 5 3 1 1 4 2 5 2 7 1 3 1 2 6 8 5 6 4 5 6 2 5 4 2 6 3 4 3 4 5 5 6 3 5 4 4 2 7 3 3 5 3 4 3 4 7 4 6 3 3 6 4 2 8 3 4 1 2 2 3 5 2 1 2 1 3 5 2 7 2 3 1 4 4 4 5 7 3 3 8 2 2 7 4 3 2 2 4 8 2 3 5 5 5 5 3 6 3 6 4 5 3 3 6 6 2 2 2 4 4 4 4 4 2 3 4 4 2 7 6 3 6 4 2 3 3 4 5 3 6 4 3 5 1 1 2 5 7 8 2 3 3 7 3 1 2 6 3 3 7 9 3 8 4 3 2 3 3 2 3 4 4 5 2 7 5 4 6 3 3 2 5 2 5 8 7 3 6 6 6 5 2 2 4 3 3 5 1 2 4 9 4 2 3 4 9 7 2 3 1 4 7 3 6 3 5 2 5 2 2 3 8 6 3 2 6 5 8 4 2 9 3 4 6 4 3 5 1 8 6 3 4 3 4 3 2 6 3 4 2 5 4 6 5 5 5 7 4 4 2 3 4 4 4 2 2 3 4 5 6 3 4 4 7 3 1 4 4 4 3 2 6 6 3 6 3 2 7 2 1 7 3 4 2 3 5 5 2 4 5 8 7 4 4 4 4 1 3 2 1 6 2 2 4 3 2 4 4 9 2 5 6 4 4 6 2 5 4 2 3 3 5 2 6 3 5 5 9 2 6 6 3 5 2 4 4 6 2 6 6 8 1 2 2 3 3 4 4 2 5 4 1 5 4 2 4 3 3 2 6 6 4 5 1 3 4 3 10 4 3 4 4 3 2 8 8 3 3 4 4 3 1 4 3 5 2 2 5 7 3 7 2 2 3 4 6 3 9 3 4 1 6 5 7 4 4 1 7 3 5 3 4 4 9 3 4 7 4 2 2 2 3 0 4 4 7 7 6 2 4 10 5 3 4 2 2 5 6 5 5 3 2 5 3 5 2 3 5 2 3 4 2 3 2 2 6 5 4 2 4 2 5 3 1 5 4 1 4 2 5 7 4 6 5 1 8 1 3 6 6 4 4 4 2 7 4 2 4 4 6 2 8 6 3 3 3 3 2 1 6 3 3 9 3 1 1 2 3 3 3 3 5 3 2 4 3 5 3 7 6 1 4 

N	P(N<n)
0	0.005
1	0.071
2	0.24
3	0.455
4	0.66
5	0.796
6	0.891
7	0.944
8	0.974
9	0.992
10	0.998
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
